index-entry-number,entry-number,entry-timestamp,key,field,datatype,phase,register,cardinality,text
158,158,2019-02-07T14:34:02Z,"clinical-commissioning-group","clinical-commissioning-group",string,beta,"clinical-commissioning-group",1,"The unique code assigned to the Clinical Commissioning Group."
157,157,2018-12-13T16:17:20Z,school-type-eng,school-type-eng,string,beta,school-type-eng,1,"Type of a school in England."
156,156,2018-12-12T17:02:41Z,region,region,curie,beta,,1,"The region in the UK where the further education college is located."
155,155,2018-12-12T17:01:15Z,"further-education-college-uk","further-education-college-uk",string,beta,"further-education-college-uk",1,"The unique code of a further education college."
154,154,2018-12-12T17:00:06Z,"further-education-college-region-uk","further-education-college-region-uk",string,beta,"further-education-college-region-uk",1,"The unique code of a region where a further education college in the UK is located."
153,153,2018-12-04T10:44:31Z,allergen-group,allergen-group,string,beta,allergen,1,"The unique code for a group of allergens as recognised by the Food Standards Agency. For example, almond and cashew are part of the nuts allergen group."
152,152,2018-11-20T17:14:10Z,processor-names,processor-names,string,beta,,n,"Names of the processors or controllers in receipt of the information"
151,151,2018-11-20T17:13:03Z,controller-names,controller-names,string,beta,,n,"Name of Controller(s) disclosing the information"
150,150,2018-11-01T13:02:45Z,contact,contact,string,beta,,1,"The contact details for subject access requests for the information sharing agreement."
149,149,2018-11-01T13:00:23Z,retention-period,retention-period,period,beta,,1,"How long the information will be held by the recipient, formatted as described by the ISO 8601 time interval standard."
148,148,2018-11-01T12:31:07Z,disclosed-information,disclosed-information,text,beta,,1,"A description of the information disclosed by the controller under the agreement"
147,147,2018-11-01T11:10:46Z,review-date,review-date,datetime,beta,,1,"When the information sharing agreement will be reviewed."
146,146,2018-11-01T11:10:20Z,relevant-powers,relevant-powers,curie,beta,,n,"the contextual powers afforded to a specified person, according to the Digital Economy Act 2017."
145,145,2018-11-01T11:09:55Z,purpose,purpose,text,beta,,1,"The purpose of the information sharing agreement."
144,144,2018-11-01T11:09:03Z,processors,processors,curie,beta,,n,"The unique codes for the receivers of the information being shared."
142,142,2018-11-01T11:08:09Z,legal-power-disclosure,legal-power-disclosure,curie,beta,,1,"The legal power disclosure for the information sharing agreement — this is referring to the information sharing agreement powers and objectives record in the Powers and objectives for disclosure under the Digital Economy Act 2017 register."
141,141,2018-11-01T11:07:41Z,"information-sharing-method","information-sharing-method",text,beta,,1,"How the information is shared."
140,140,2018-11-01T11:07:01Z,"information-sharing-benefits","information-sharing-benefits",string,beta,,1,"The intended benefits of the information sharing agreement."
139,139,2018-11-01T11:06:05Z,"information-sharing-agreement-specified-person-0001","information-sharing-agreement-specified-person-0001",string,beta,"information-sharing-agreement-specified-person-0001",1,"The unique code for the information sharing agreement specified persons."
138,138,2018-11-01T11:05:22Z,"information-sharing-agreement-powers-and-objectives-0001","information-sharing-agreement-powers-and-objectives-0001",string,beta,"information-sharing-agreement-powers-and-objectives-0001",1,"The unique code for the information sharing agreement powers and objectives."
137,137,2018-11-01T11:04:40Z,"information-sharing-agreement-0001","information-sharing-agreement-0001",string,beta,"information-sharing-agreement-0001",1,"The unique code for the information sharing agreement."
